title,Price,bedrooms,bathrooms,Size,Location,Property_type
FREE HOLD!! Amazing 2+1 Bedroom Apartment For Sale in AL Mouj,120000.0,2,2,127.0,"The Wave (Almouj), Muscat",Apartment
ADS702***Brand New 1BHK Apartment for Sale – Prime Opportunity!,33000.0,1,2,80.0,"Bosher, Muscat",Apartment
ADS701***Brand New 2BHK Apartment for Sale – Prime Opportunity!,43000.0,2,3,110.0,"Bosher, Muscat",Apartment
ADV066**2BHK apartment for rent in bausher,300.0,2,2,90.0,"Bosher, Muscat",Apartment
ADV501**For Rent: Brand New 6 BHK Villa in Azaibah – Spacious & Modern,1000.0,6,8,625.0,"Azaiba, Muscat",Villa
5BHK+Maid villa fo rent in the wave,1700.0,5,6,400.0,"The Wave (Almouj), Muscat",Villa
ADS302**للبيع فيلا تشطيبات راقية في الخوض السابعة,135000.0,7,8,484.0,"Al Khoud, Muscat",Other
"Warehouse for Rent – Khazaen, Muscat",2100.0,2,3,700.0,"Barka, Al Batinah",Villa
EXCELLENT 2 BR APARTMENT IN AL KHUWAIR,280.0,2,2,105.0,"Al Khuwair, Muscat",Apartment
MUSCAT HILLS | FURNISHED 1 BHK APARTMENT,450.0,1,2,85.0,"Muscat Hills, Muscat",Apartment
Furnished Farm for Sale in Jebel Sifah with beautiful views,205000.0,3,3,177.0,"Al Sifah, Muscat",Other
Own Your Apartment Now in Sultan Haitham City,54395.0,1,1,67.0,"Sultan Haitham City, Muscat",Apartment
"تاون هاوس للبيع, مدينة السلطان هيثم | Townhouse Sultan Haitham City",111700.0,3,3,194.0,"Sultan Haitham City, Muscat",Villa
"Best Price 1 Bedroom Freehold Apartment for Sale Jebel Sifah, Muscat",50000.0,1,1,61.0,"Al Sifah, Muscat",Apartment
Luxurious Furnished 4+1 BR Villa Available for Rent in Mabela,600.0,5,6,300.0,"Al Maabilah, Muscat",Villa
"Zunairah Villas – Redefining Ultra-Luxury Living in Al Mouj, Muscat",4000000.0,7,7,,"The Wave (Almouj), Muscat",Villa
Brand New Luxury Villa in MSQ!,1700.0,5,6,250.0,"Madinat As Sultan Qaboos, Muscat",Villa
Luxury Lakefront Villa with Private Pool – Al Mouj,530000.0,5,5,534.0,"The Wave (Almouj), Muscat",Villa
"2-Bedroom Apartment for Sale – Almeria North, Al Mouj Muscat",160000.0,2,2,150.0,"The Wave (Almouj), Muscat",Apartment
Commercial Space for Rent – Prime Road-Front Location in Bosher!,2000.0,2,3,110.0,"Bosher, Muscat",Commercial
"Luxury 1BR + Study with Sea View – Juman One, Al Mouj",120000.0,1,1,104.0,"The Wave (Almouj), Muscat",Other
